word,pos,cn,ex
Confine,v.,限制；禁闭,Research is confined to urban areas. 研究被限制在城市地区。
Conform,v.,遵守；符合 (to),Products must conform to safety standards. 产品必须符合安全标准。
Consolidate,v.,巩固；合并,The company will consolidate its branches. 公司将合并其分支机构。
Constrain,v.,强迫；限制,Budget constraints limit our options. 预算限制缩小了选择范围。
Contaminate,v.,污染,Wastewater can contaminate drinking water. 废水可能污染饮用水。
Contradict,v.,反驳；与…矛盾,The results contradict earlier findings. 结果与早期发现相矛盾。
Convene,v.,召集；开会,They convened a panel of experts. 他们召集了专家小组。
Converge,v.,汇聚，集中,Opinions begin to converge on the issue. 对该问题的意见开始趋同。
Convey,v.,传达；运输,Images can convey complex emotions. 图像能传达复杂情感。
Coordinate,v.,协调,We must coordinate efforts across teams. 我们必须协调跨团队的努力。
Correlate,v.,使相关联,The variables strongly correlate with age. 这些变量与年龄高度相关。
Culminate,v.,达到顶点；告终,The project culminated in a public report. 项目以公开报告告终。
Deduce,v.,推断，演绎,We deduce the rule from examples. 我们从例子中推断出规则。
Depict,v.,描绘，描述,The novel vividly depicts rural life. 小说生动描绘了乡村生活。
Deprive,v.,剥夺 (of),No one should be deprived of education. 不应剥夺任何人的受教育权。
Derive,v.,源于；获得 (from),Many words derive from Latin. 许多词源自拉丁语。
Deteriorate,v.,恶化，变坏,Relations deteriorated after the incident. 事件后关系恶化。
Deviate,v.,偏离；背离 (from),We must not deviate from the plan. 我们不能偏离计划。
Differentiate,v.,区分，区别,Differentiate facts from opinions. 区分事实与观点。
Diffuse,v.,扩散，传播,Social media diffuses information quickly. 社交媒体迅速传播信息。
Diminish,v.,减少，缩小,Fatigue may diminish performance. 疲劳会降低表现。
Discard,v.,丢弃，抛弃,Discard outdated files regularly. 定期丢弃过时文件。
Disperse,v.,分散，驱散,The crowd dispersed peacefully. 人群平静散去。
Distort,v.,扭曲；歪曲,Rumors can distort public opinion. 谣言会扭曲公众舆论。
Dominate,v.,支配；占优势,A few firms dominate the market. 少数公司主导市场。
Duplicate,v.,复制；重复,Avoid duplicating efforts. 避免重复劳动。
Eliminate,v.,消除，淘汰,We aim to eliminate unnecessary costs. 我们致力于消除不必要成本。
Embark,v.,开始；从事,She embarked on a new career. 她开始了新的职业。
Embody,v.,体现；包含,The policy embodies core values. 该政策体现了核心价值。
Enhance,v.,提高，增强,Training can enhance productivity. 培训能提高生产力。
Escalate,v.,升级；加剧,Tensions escalated rapidly. 局势迅速升级。
Evoke,v.,唤起，引起,The song evokes childhood memories. 这首歌唤起童年记忆。
Exaggerate,v.,夸大,Try not to exaggerate the problem. 别夸大问题。
Exceed,v.,超过,Costs exceeded the initial budget. 成本超出最初预算。
Expel,v.,开除；驱逐,He was expelled from school for cheating. 他因作弊被学校开除。
Expire,v.,期满，终止,The contract will expire next month. 合同将于下月到期。
Fabricate,v.,捏造；制造,They fabricated data to support the claim. 他们捏造数据以支持该主张。
Facilitate,v.,使便利，促进,Technology facilitates remote learning. 技术促进远程学习。
Fluctuate,v.,波动，起伏,Prices fluctuate throughout the year. 价格全年波动。
Formulate,v.,构想出；制定,We formulated a long-term strategy. 我们制定了长期战略。
Foster,v.,培养；促进；收养,The program fosters creativity. 该项目培养创造力。
Hamper,v.,妨碍，束缚,Heavy traffic hampered our progress. 严重的交通阻碍了我们的进程。
Highlight,v.,强调；突出显示,The report highlights key risks. 报告强调了关键风险。
Hinder,v.,阻碍,Lack of funds hinders research. 缺乏资金阻碍研究。
Impair,v.,损害，削弱,Smoking impairs lung function. 吸烟损害肺功能。
Implement,v.,实施，执行,We implemented the new policy last year. 我们去年实施了新政策。
Imply,v.,暗示,His silence implies consent. 他的沉默暗示着同意。
Incur,v.,招致，遭受,You may incur extra charges. 你可能会产生额外费用。
Induce,v.,引诱；引起,The drug may induce drowsiness. 这种药可能引起嗜睡。
Inhibit,v.,抑制；禁止,Strict rules inhibit creativity. 严格的规则抑制创造力。
Initiate,v.,开始，发起,The committee initiated a review. 委员会启动了审查。
Integrate,v.,使一体化，整合,Integrate theory with practice. 将理论与实践结合。
Intervene,v.,干预，调停,The UN intervened to stop the conflict. 联合国介入以制止冲突。
Intimidate,v.,恐吓，威胁,Bullies often intimidate weaker students. 恃强凌弱者常恐吓弱小学生。
Justify,v.,证明…正当；为…辩护,Can you justify the expense? 你能为这笔开支辩护吗？
Launch,v.,发射；发起；上市,They launched a new app last week. 他们上周推出了新应用。
Manifest,v.,显示，表明,Symptoms manifested after two days. 症状两天后显现。
Manipulate,v.,操纵；操作,The media can manipulate public opinion. 媒体能操纵公众舆论。
Merge,v.,合并，融合,Two banks merged into one entity. 两家银行合并为一个实体。
Migrate,v.,迁移,Birds migrate south in winter. 鸟类冬季向南迁徙。
Minimize,v.,使最小化；轻视,Try to minimize risks. 尽量将风险降到最低。
Neglect,v.,忽视，疏忽,Don't neglect regular maintenance. 不要忽视定期维护。
Notify,v.,通知,Please notify us of any changes. 若有更改请通知我们。
Nurture,v.,养育；培育,Parents nurture their children's talents. 父母培养孩子的天赋。
Oblige,v.,迫使；施恩,We are obliged to comply with the law. 我们必须遵守法律。
Obsess,v.,使痴迷；困扰,He is obsessed with perfection. 他痴迷于完美。
Offset,v.,抵消，弥补,Tax credits offset higher costs. 税收抵免抵消了更高成本。
Orient,v.,使适应；确定方向,The course helps students orient to college life. 该课程帮助学生适应大学生活。
Overwhelm,v.,压倒；使不知所措,Too much work can overwhelm you. 太多工作会让人不知所措。
Participate,v.,参与,Many students participate in volunteer work. 很多学生参与志愿活动。
Penetrate,v.,穿透；渗透；深入了解,Light cannot penetrate the thick fog. 光无法穿透浓雾。
Perceive,v.,感知；认为,People perceive risks differently. 人们对风险的感知不同。
Pervade,v.,弥漫，遍及,A sense of optimism pervaded the room. 乐观情绪弥漫整个房间。
Ponder,v.,沉思，考虑,We need time to ponder this decision. 我们需要时间思考这个决定。
Preclude,v.,排除；使不可能,Safety concerns preclude further tests. 安全问题使进一步测试不可能。
Prescribe,v.,开处方；规定,Doctors prescribed antibiotics. 医生开了抗生素。
Presume,v.,假定；推测,We presume he will attend. 我们假定他会出席。
Prevail,v.,盛行；战胜,Justice will prevail. 正义终将获胜。
Proclaim,v.,宣告，声明,They proclaimed independence. 他们宣布独立。
Propel,v.,推进，推动,Innovation propels growth. 创新推动增长。
Recite,v.,背诵；逐一列举,She recited the poem from memory. 她凭记忆背诵了这首诗。
Reconcile,v.,使和解；调和,It's hard to reconcile theory with practice. 理论与实践难以调和。
Recur,v.,复发；再次发生,The issue may recur if not addressed. 若不解决，问题可能再现。
Refine,v.,精炼；改进,We refined our methods. 我们改进了方法。
Refrain,v.,克制；避免,Please refrain from smoking. 请勿吸烟。
Reinforce,v.,加强；加固,Evidence reinforced their argument. 证据加强了他们的论点。
Relay,v.,转达；转播,He relayed the message to the team. 他把消息转达给团队。
Relish,v.,喜爱；享受,She relished the challenge. 她享受这项挑战。
Render,v.,使得；给予；呈现,Failure to pay may render the contract void. 未付款可能使合同无效。
Repress,v.,压抑；镇压,He repressed his anger. 他压抑住了愤怒。
Retain,v.,保持；保留,We must retain talented employees. 我们必须留住有才华的员工。
Retrieve,v.,取回；检索；挽回,The system retrieves data in seconds. 系统在几秒内检索数据。
Revive,v.,复苏；恢复,The treatment revived the patient. 治疗使患者恢复。
Scrutinize,v.,仔细审查,The proposal was scrutinized by experts. 提案被专家仔细审查。
Simulate,v.,模拟；仿真,We simulated the experiment in software. 我们用软件模拟了实验。
Speculate,v.,推测；投机,Analysts speculate about future trends. 分析师推测未来趋势。
Strive,v.,努力；奋斗,We strive for excellence. 我们力求卓越。
Suppress,v.,镇压；抑制,The drug suppresses the immune response. 该药物抑制免疫反应。
Surpass,v.,超过；胜过,Her performance surpassed expectations. 她的表现超出预期。
Sustain,v.,维持；经受,We must sustain momentum. 我们必须保持势头。
Tempt,v.,引诱；诱惑,Advertisements tempt customers to buy. 广告诱使顾客购买。
Testify,v.,作证；证明,He testified in court yesterday. 他昨天在法庭上作证。
Thrive,v.,繁荣；茁壮成长,Small businesses thrive online. 小企业在网上蓬勃发展。
Transcend,v.,超越；胜过,Art can transcend cultural boundaries. 艺术可以超越文化界限。
Transmit,v.,传输；传播,Viruses transmit through contact. 病毒通过接触传播。
Trigger,v.,引发；触发,The news triggered widespread debate. 这则新闻引发了广泛争论。
Underestimate,v.,低估,Don't underestimate the difficulty. 不要低估难度。
Undermine,v.,削弱；损害,Rumors undermined public trust. 谣言削弱了公众信任。
Utilize,v.,利用；运用,We utilize data to improve decisions. 我们利用数据改进决策。
Verify,v.,核实；验证,Please verify your identity. 请验证你的身份。
Warrant,v.,使…正当；保证,The case warrants further investigation. 此案需要进一步调查。

Abrupt,adj.,突然的；唐突的,an abrupt change 突然的变化
Abstract,adj.,抽象的,abstract concepts 抽象概念
Absurd,adj.,荒谬的,an absurd claim 荒谬的主张
Abundant,adj.,丰富的,abundant evidence 充足的证据
Acute,adj.,敏锐的；严峻的,an acute shortage 严重短缺
Aesthetic,adj.,美学的；审美的,aesthetic value 审美价值
Alien,adj.,陌生的；格格不入的,be alien to local culture 与本地文化格格不入
Ambiguous,adj.,模棱两可的,ambiguous wording 含糊措辞
Ambitious,adj.,有野心的,an ambitious plan 宏大的计划
Anonymous,adj.,匿名的,anonymous sources 匿名消息源
Apparent,adj.,明显的；表面上的,for no apparent reason 毫无明显原因
Appropriate,adj.,适当的,appropriate measures 适当措施
Arbitrary,adj.,任意的；专断的,an arbitrary decision 武断的决定
Arrogant,adj.,傲慢的,an arrogant attitude 傲慢态度
Authentic,adj.,真正的；可靠的,authentic data 真实数据
Barren,adj.,贫瘠的,barren land 贫瘠土地
Bizarre,adj.,奇异的；怪诞的,a bizarre story 怪诞故事
Chronic,adj.,慢性的；长期的,chronic disease 慢性疾病
Coherent,adj.,连贯的,a coherent argument 连贯的论证
Cohesive,adj.,凝聚的,a cohesive team 凝聚力强的团队
Compact,adj.,紧凑的,a compact design 紧凑设计
Compatible,adj.,兼容的；合得来的,compatible devices 兼容设备
Compulsory,adj.,强制的；义务的,compulsory education 义务教育
Concise,adj.,简明的,a concise summary 简明摘要
Concrete,adj.,具体的,concrete evidence 具体证据
Conspicuous,adj.,显眼的,conspicuous consumption 炫耀性消费
Controversial,adj.,有争议的,a controversial issue 争议性问题
Crucial,adj.,至关重要的,a crucial step 关键步骤
Cynical,adj.,愤世嫉俗的,a cynical remark 讥讽的评论
Delicate,adj.,精致的；脆弱的；微妙的,a delicate balance 微妙的平衡
Destructive,adj.,破坏性的,destructive behavior 破坏性行为
Distinct,adj.,清楚的；截然不同的,distinct differences 显著差异
Diverse,adj.,多样的,a diverse community 多元的社区
Drastic,adj.,激烈的；严厉的,drastic measures 激烈措施
Dynamic,adj.,有活力的；动态的,a dynamic market 充满活力的市场

Hierarchy,n.,等级制度,a rigid hierarchy 刻板的等级制度
Ideology,n.,意识形态,political ideology 政治意识形态
Integration,n.,结合；一体化,economic integration 经济一体化
Intervention,n.,干涉，介入,government intervention 政府干预
Intuition,n.,直觉,act on intuition 凭直觉行事
Legacy,n.,遗产；遗留问题,a cultural legacy 文化遗产
Manifestation,n.,表现；显示,a manifestation of fear 恐惧的表现
Mechanism,n.,机制；构造,the mechanism of action 作用机制
Monopoly,n.,垄断,hold a monopoly on services 垄断服务
Norm,n.,规范，准则,social norms 社会规范
Obsession,n.,痴迷；困扰,an obsession with perfection 对完美的痴迷
Orientation,n.,方向；取向,value orientation 价值取向
Paradox,n.,悖论；矛盾,a paradox in policy 政策中的悖论
Perspective,n.,视角，观点,from a global perspective 从全球视角来看
Plea,n.,请求；辩解,a plea for help 求助请求
Precedent,n.,先例,set a precedent 树立先例
Prejudice,n.,偏见,racial prejudice 种族偏见
Premise,n.,前提,on the premise that... 基于…的前提
Prescription,n.,处方；对策,a prescription for recovery 复苏对策
Priority,n.,优先权；优先事项,top priority 首要任务
Privilege,n.,特权,enjoy special privilege 享有特权
Propaganda,n.,宣传（贬）,spread propaganda 散布宣传
Prophecy,n.,预言,fulfill a prophecy 实现预言
Provision,n.,供应；条款,make provision for future 为未来做准备
Ratio,n.,比率,a high teacher-student ratio 师生比例高
Recession,n.,经济衰退,fall into recession 陷入衰退
Regime,n.,政权；管理体制,an authoritarian regime 威权政权
Renaissance,n.,文艺复兴；复兴,a cultural renaissance 文化复兴
Repertoire,n.,常备剧目；全部技能,expand your repertoire 扩展技能库
Retrospect,n.,回顾,in retrospect 事后回想
Revelation,n.,揭示；被揭露的真相,a startling revelation 惊人内幕
Revenue,n.,税收；收入,increase tax revenue 增加税收
